pmid,authors
14769950,"Ui-Tei, Kumiko|Naito, Yuki|Takahashi, Fumitaka|Haraguchi, Takeshi|Ohki-Hamazaki, Hiroko|Juni, Aya|Ueda, Ryu|Saigo, Kaoru"
18218782,"Haque, M Emdadul|Thomas, Kelly J|D'Souza, Cheryl|Callaghan, Steve|Kitada, Tohru|Slack, Ruth S|Fraser, Paul|Cookson, Mark R|Tandon, Anurag|Park, David S"
14769947,"Hsieh, Andrew C|Bo, Ronghai|Manola, Judith|Vazquez, Francisca|Bare, Olivia|Khvorova, Anastasia|Scaringe, Stephen|Sellers, William R"
15671067,"Jang, Shyh-Ing|Kalinin, Alexandr|Takahashi, Kaoruko|Marekov, Lyuben N|Steinert, Peter M"
15671064,"Gruber, Jens|Lampe, Tina|Osborn, Mary|Weber, Klaus"
15195925,"Berkhout, Ben"
16138005,"Zeng, Pingyu|Wagoner, Heather A|Pescovitz, Ora Hirsch|Steinmetz, Rosemary"
16768789,"Palmer, Ella L|Miller, Andrew D|Freeman, Tom C"
17374997,"Su, Chang|Deaton, Rebecca A|Iglewsky, Myriam A|Valencia, Thomas G|Grant, Stephen R"
15195924,"Nencioni, Alessio|Sandy, Peter|Dillon, Christopher|Kissler, Stephan|Blume-Jensen, Peter|Van Parijs, Luk"
15195923,"Scherr, Michaela|Eder, Matthias"
18071315,"Cui, Y|Guadagno, T M"
18243347,"Jia, Hong|Ge, Xinna|Guo, Xin|Yang, Hanchun|Yu, Kangzhen|Chen, Zhenhai|Chen, Yanhong|Cha, Zhenlin"
12812050,"Tang, Fu-Chou|Yang, Hong-Bo|Meng, Guo-Liang|Li, Cheng-Jian|Shang, Ke-Gang|Zhang, Bo|Xue, You-Fang"
17194770,"Chen, Ming|Han, Gongshe|Dietrich, Charles R|Dunn, Teresa M|Cahoon, Edgar B"
6184716,"Francoeur, A M|Mathews, M B"
14638860,"Jousse, C&eacute;line|Oyadomari, Seiichi|Novoa, Isabel|Lu, Phoebe|Zhang, Yuhong|Harding, Heather P|Ron, David"
17686279,"Huang, Hong-Zhang|Pan, Chao-Bin|Wang, Jian-Guang|Xu, Jian-Hui|Zhang, Bin|Zhang, Lei-Tao"
17563398,"Clavijo, Carlos|Chen, Jo-Lin|Kim, Kwang-Jin|Reyland, Mary E|Ann, David K"
14769924,"Scacheri, Peter C|Rozenblatt-Rosen, Orit|Caplen, Natasha J|Wolfsberg, Tyra G|Umayam, Lowell|Lee, Jeffrey C|Hughes, Christina M|Shanmugam, Kalai Selvi|Bhattacharjee, Arindam|Meyerson, Matthew|Collins, Francis S"
11747075,"Asp&ouml;ck, G|B&uuml;rglin, T R"
18095875,"Seyhan, Attila A|Alizadeh, Babak N|Lundstrom, Kenneth|Johnston, Brian H"
16195330,"Kieusseian, Aur&eacute;lie|Chagraoui, Jalila|Kerdudo, C&eacute;cile|Mangeot, Philippe-Emmanuel|Gage, Philip J|Navarro, Nicole|Izac, Brigitte|Uzan, Georges|Forget, Bernard G|Dubart-Kupperschmitt, Anne"
15998721,"Goszczynski, Barbara|McGhee, James D"
16989952,"Wang, Y|Paramasivam, M|Thomas, A|Bai, J|Kaminen-Ahola, N|Kere, J|Voskuil, J|Rosen, G D|Galaburda, A M|Loturco, J J"
15081214,"Yoshikawa, Tomohiro|Uchimura, Eiichiro|Kishi, Michiko|Funeriu, Daniel P|Miyake, Masato|Miyake, Jun"
17366780,"Li, Gang|Li, Xiang-Ping|Liu, Xiong|Peng, Ying|Lin, Marie C"
12746491,"Koblenz, Bettina|Schoppmeier, Jutta|Grunow, Andrea|Lechtreck, Karl-Ferdinand"
18644731,"Ueno, Yoshihito|Kawada, Koshi|Naito, Tomoharu|Shibata, Aya|Yoshikawa, Kayo|Kim, Hye-Sook|Wataya, Yusuke|Kitade, Yukio"
17121017,"Shen, Jian-Jun|Hao, Xiao-Ke|Liu, Jia-Yun|Su, Ming-Quan|Miao, Ying-Ye|Zhang, Qing"
17702644,"Matzke, Marjori|Kanno, Tatsuo|Huettel, Bruno|Daxinger, Lucia|Matzke, Antonius J M"
12173041,"Wilda, Monika|Fuchs, Uta|W&ouml;ssmann, Wilhelm|Borkhardt, Arndt"
17276655,"Zhang, Xiaohua Douglas"
17694447,"Aigner, Achim"
17563372,"Winston, William M|Sutherlin, Marie|Wright, Amanda J|Feinberg, Evan H|Hunter, Craig P"
